Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Insert Date
Starbucks,6991,Lake Tahoe & Park -South Lake Tahoe,Company Owned,12654,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,530-543-3391,"4000 S LAKE TAHOE BLVD, 24",4000 S LAKE TAHOE BLVD,24,South Lake Tahoe,CA,96150-7071,US,06/22/2012 06:49:15 PM
Starbucks,74189,Safeway - South Lake Tahoe #1824,Licensed,15740,,Starbucks Card Mobile,,9999,Unknown,530-542-7740,1020 Johnson Dr.,1020 Johnson Dr.,,South Lake Tahoe,CA,96150-8214,US,06/22/2012 06:49:15 PM
Starbucks,5478,South Lake Tahoe,Company Owned,11623,"Lunch, Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,530-544-4490,1064 Emerald Bay Road,1064 Emerald Bay Road,,South Lake Tahoe,CA,96150-6200,US,06/22/2012 06:49:15 PM
Starbucks,79728,Safeway - Pollock Pines #1825,Licensed,6686,,Starbucks Card Mobile,,9999,Unknown,530-647-7440,6498 Pony Trail Express,6498 Pony Trail Express,,Pollock Pines,CA,95726-9604,US,06/22/2012 06:49:15 PM
Starbucks,5699,1228 Broadway - Placerville,Company Owned,18456,"Lunch, Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,530-626-6024,1228 Broadway,1228 Broadway,,Placerville,CA,95667-5806,US,06/22/2012 06:49:16 PM
Starbucks,8819,"Gage & Compton, Huntington Park",Company Owned,8822,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-585-1928,1437 E. Gage Avenue,1437 E. Gage Avenue,,Los Angeles,CA,90001-1789,US,06/22/2012 06:49:18 PM
Starbucks,5788,Pacific & Belgrave,Company Owned,14113,Lunch,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-584-0492,6021 Pacific Blvd.,6021 Pacific Blvd.,,Huntington Park,CA,90255-2953,US,06/22/2012 06:49:18 PM
Starbucks,8636,"Firestone & Long Beach, Southg",Company Owned,13842,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-569-0274,8924 Long Beach Blvd.,8924 Long Beach Blvd.,,Southgate,CA,90280-2808,US,06/22/2012 06:49:18 PM
Starbucks,8780,Slauson & State,Company Owned,8258,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-585-6735,3060 E. Slauson Ave.,3060 E. Slauson Ave.,,Huntington Park,CA,90255-3138,US,06/22/2012 06:49:18 PM
Starbucks,6510,"Altantic & Florence, Bell",Company Owned,9344,Lunch,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-560-4458,7121 Atlantic Blvd.,7121 Atlantic Blvd.,,Bell,CA,90201-3650,US,06/22/2012 06:49:18 PM
Starbucks,5995,Western & Slauson,Company Owned,14352,"Lunch, Oven-warmed Food",Starbucks Card Mobile,Drive-Through,9999,Unknown,323-292-4429,1850 W. Slauson Avenue,1850 W. Slauson Avenue,,Los Angeles,CA,90047-1126,US,06/22/2012 06:49:18 PM
Starbucks,5719,Hoover & Jefferson,Company Owned,18540,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-747-8927,"3303 S. Hoover Street, A-2",3303 S. Hoover Street,A-2,Los Angeles,CA,90007-3557,US,06/22/2012 06:49:18 PM
Starbucks,16783,MLK & Bullis,Company Owned,89066,"Lunch, Oven-warmed Food","iTunes WiFi Music Store, Wireless Hotspot",Drive-Through,0,Unknown,310-764-1321,"3801 MARTIN LUTHER KING JR BLVD, #1",3801 MARTIN LUTHER KING JR BLVD,#1,Lynwood,CA,90262,US,06/22/2012 06:49:18 PM
Starbucks,6608,"9th & Santee, Los Angeles",Company Owned,11795,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-489-0913,300 E. 9th Street,300 E. 9th Street,,Los Angeles,CA,90015-1802,US,06/22/2012 06:49:18 PM
Starbucks,13397,"12th & Hill, Los Angeles(AT&T Bldg)",Company Owned,17033,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-749-0487,"1149 S. Hill Street, H-120",1149 S. Hill Street,H-120,Los Angeles,CA,90015-2212,US,06/22/2012 06:49:18 PM
Starbucks,6580,"Atlantic & Imperial, Lynwood",Company Owned,11224,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,310-764-4969,10925 Atlantic Avenue,10925 Atlantic Avenue,,Lynwood,CA,90262-2310,US,06/22/2012 06:49:18 PM
Starbucks,10939,"11th & Grand, Los Angeles",Company Owned,10036,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-749-1751,1111 South Grand Avenue,1111 South Grand Avenue,,Los Angeles,CA,90015-2176,US,06/22/2012 06:49:18 PM
Starbucks,10307,"Rosecrans & Central, Compton",Company Owned,17357,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,310-638-4707,"2161 W. Rosecrans Ave, 100",2161 W. Rosecrans Ave,100,Compton,CA,90222-3855,US,06/22/2012 06:49:18 PM
Starbucks,6787,Eastern & Florence,Company Owned,14391,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-560-6355,7000-F Eastern Avenue,7000-F Eastern Avenue,,Bell Gardens,CA,90201-3910,US,06/22/2012 06:49:18 PM
Starbucks,75135,LACC-West Hall,Licensed,16391,,,,9999,Unknown,213-765-4611,1201 S Figueroa Rd,1201 S Figueroa Rd,,Los Angeles,CA,90015-1308,US,06/22/2012 06:49:18 PM
Starbucks,72247,LACC-South Hall,Licensed,12473,,,,9999,Unknown,213-765-4573,1201 S Figueroa St,1201 S Figueroa St,,Los Angeles,CA,90015-1308,US,06/22/2012 06:49:18 PM
Starbucks,3973,Target South Gate T-190,Licensed,52080,,,,0,Unknown,562-806-2911,5700 Firestone Blvd,5700 Firestone Blvd,,South Gate,CA,90280-3704,US,06/22/2012 06:49:18 PM
Starbucks,17331,9th & Flower,Company Owned,89075,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food","iTunes WiFi Music Store, Wireless Hotspot",,0,Unknown,213-239-9713,"600 West 9th Street, 135",600 West 9th Street,135,Los Angeles,CA,90015-4300,US,06/22/2012 06:49:18 PM
Starbucks,13222,Olympic & Figueroa- LA Live,Company Owned,18659,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-748-1009,"800 W. Olympic Blvd., 102",800 W. Olympic Blvd.,102,Los Angeles,CA,90015-1360,US,06/22/2012 06:49:18 PM
Starbucks,5834,"Firestone & Garfield, Southgate",Company Owned,11165,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,562-806-8009,"8620 Garfield Ave, Ste 102",8620 Garfield Ave,Ste 102,Southgate,CA,90280-3700,US,06/22/2012 06:49:18 PM
Starbucks,6767,Hollywood Park Marketplace,Company Owned,12825,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,310-412-1620,"3351 W. Century Blvd, 105",3351 W. Century Blvd,105,Inglewood,CA,90303-1300,US,06/22/2012 06:49:18 PM
Starbucks,6859,Atlantic & Washington,Company Owned,11280,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-981-0029,"5201 E. Washington Blvd, A",5201 E. Washington Blvd,A,City of Commerce,CA,90040-3918,US,06/22/2012 06:49:18 PM
Starbucks,15491,Target Inglewood T-1329,Licensed,68195,,,,0,Unknown,310-677-2436,3471 W Century Blvd,3471 W Century Blvd,,Inglewood,CA,90303-1218,US,06/22/2012 06:49:18 PM
Starbucks,6557,"2nd & Alameda, Los Angeles",Company Owned,11382,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-613-0393,138 S. Central Avenue,138 S. Central Avenue,,Los Angeles,CA,90012-3913,US,06/22/2012 06:49:18 PM
Starbucks,11233,"6th & Grand, Los Angeles",Company Owned,17753,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-327-0208,523 West 6th Street,523 West 6th Street,,Los Angeles,CA,90014-1217,US,06/22/2012 06:49:18 PM
Starbucks,6577,"7th & Figueroa, Los Angeles (RAD)",Company Owned,8888,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-488-9902,"735 S. Figueroa Street, #308",735 S. Figueroa Street,#308,Los Angeles,CA,90017-2563,US,06/22/2012 06:49:18 PM
Starbucks,9234,The Gas Co. Tower,Company Owned,16846,Lunch,Starbucks Card Mobile,,9999,Unknown,213-892-0306,555 West 5th Street,555 West 5th Street,,Los Angeles,CA,90013-1007,US,06/22/2012 06:49:18 PM
Starbucks,9973,Kyoto Grand,Company Owned,9504,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-687-9849,"120 S. Los Angeles Street, #110",120 S. Los Angeles Street,#110,Los Angeles,CA,90012-3724,US,06/22/2012 06:49:18 PM
Starbucks,5291,444 S. Flower - D.T. L.A.,Company Owned,15990,Lunch,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-622-4493,"444 South Flower Street, Suite #170",444 South Flower Street,Suite #170,Los Angeles,CA,90071,US,06/22/2012 06:49:18 PM
Starbucks,5284,6th & Flower - City National Plaza,Company Owned,15892,Lunch,Starbucks Card Mobile,,9999,Unknown,213-488-9049,"505 S. Flower Street, Suite #B-13",505 S. Flower Street,Suite #B-13,Los Angeles,CA,90071,US,06/22/2012 06:49:18 PM
Starbucks,5289,II California Plaza - D.T. L.A.,Company Owned,16708,Lunch,Starbucks Card Mobile,,9999,Unknown,213-626-0466,"350 South Grand Avenue, Suite #B-5",350 South Grand Avenue,Suite #B-5,Los Angeles,CA,90071,US,06/22/2012 06:49:18 PM
Starbucks,10586,"Wilshire & Bixel, Los Angeles",Company Owned,14637,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-250-8291,1090 Wilshire Blvd.,1090 Wilshire Blvd.,,Los Angeles,CA,90017-2416,US,06/22/2012 06:49:18 PM
Starbucks,5256,"445 S. Figueroa Street, Union Bank",Company Owned,12124,Lunch,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-623-9191,"445 S. Figueroa Street, #205",445 S. Figueroa Street,#205,Los Angeles,CA,90071-1600,US,06/22/2012 06:49:18 PM
Starbucks,3425,"Crenshaw & I-105, Hawthorne",Company Owned,9664,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-756-1898,"2909 W. 120th Street, Suite A",2909 W. 120th Street,Suite A,Hawthorne,CA,90250-3398,US,06/22/2012 06:49:18 PM
Starbucks,76944,Target Hawthorne T-2280,Licensed,10681,,Starbucks Card Mobile,,9999,Unknown,310-839-5200,2700 120th St,2700 120th St,,Hawthorne,CA,90250-3388,US,06/22/2012 06:49:18 PM
Starbucks,9227,333 South Hope St.,Company Owned,12324,Lunch,Starbucks Card Mobile,,9999,Unknown,213-621-4191,333 South Hope Street,333 South Hope Street,,Los Angeles,CA,90071-1406,US,06/22/2012 06:49:18 PM
Starbucks,9225,330 South Hope St.,Company Owned,18553,Lunch,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-620-1945,330 South Hope Street,330 South Hope Street,,Los Angeles,CA,90071-3115,US,06/22/2012 06:49:18 PM
Starbucks,9328,"3rd & Gage, Los Angeles",Company Owned,9948,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-265-4124,"3853 E. 3rd Street, E",3853 E. 3rd Street,E,Los Angeles,CA,90063-2403,US,06/22/2012 06:49:18 PM
Starbucks,9230,217 N. Hill Street,Company Owned,8955,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-625-2205,217 North Hill Street,217 North Hill Street,,Los Angeles,CA,90012-2705,US,06/22/2012 06:49:18 PM
Starbucks,9230,NEC Grand & 1st (Grand Park),Company Owned,69543,Oven-warmed Food,,,9999,Unknown,213-625-2205,217 N. Hill Street,217 N. Hill Street,,Los Angeles,CA,90012-2705,US,06/22/2012 06:49:18 PM
Starbucks,15062,Union Station (DTLA),Company Owned,20070,"Lunch, Oven-warmed Food","iTunes WiFi Music Store, Wireless Hotspot",,0,Unknown,213-621-2862,"800 N. Alameda Street, S2",800 N. Alameda Street,S2,Los Angeles,CA,90012-2177,US,06/22/2012 06:49:18 PM
Starbucks,74581,Vons-Inglewood #2502,Licensed,16640,,Starbucks Card Mobile,,9999,Unknown,310-677-0286,500 E Manchester Blvd,500 E Manchester Blvd,,Inglewood,CA,90301-9294,US,06/22/2012 06:49:18 PM
Starbucks,6688,"Wilshire & Union, Los Angeles",Company Owned,11305,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-484-0958,1601 Wilshire Blvd,1601 Wilshire Blvd,,Los Angeles,CA,90017-1610,US,06/22/2012 06:49:18 PM
Starbucks,6593,"Crenshaw & Coliseum, Los Angeles",Company Owned,7925,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-292-7911,3722 Crenshaw Blvd.,3722 Crenshaw Blvd.,,Los Angeles,CA,90016-5804,US,06/22/2012 06:49:18 PM
Starbucks,6897,"Citadel Outlets, City of Commerce",Company Owned,9338,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-888-2153,"100 Citadel Drive, Suite 200","100 Citadel Drive, Suite 200",,City of Commerce,CA,90040-1586,US,06/22/2012 06:49:18 PM
Starbucks,5644,Redondo Beach & Normandie,Company Owned,16818,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,310-532-2262,1258 W Redondo Beach Blvd,1258 W Redondo Beach Blvd,,Gardena,CA,90247-3468,US,06/22/2012 06:49:18 PM
Starbucks,2820,"La Brea & Centinela, Inglewood",Company Owned,12054,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,310-412-2370,941 N. La Brea Avenue,941 N. La Brea Avenue,,Inglewood,CA,90302-2207,US,06/22/2012 06:49:18 PM
Starbucks,13045,Health Science Campus - USC,Licensed,19140,Oven-warmed Food,Wireless Hotspot,,0,Unknown,323-442-1943,1969 Zonal Ave,1969 Zonal Ave,,Los Angeles,CA,90033-5422,US,06/22/2012 06:49:18 PM
Starbucks,9505,"Crenshaw & Washington, Los Angeles",Company Owned,7663,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-734-0281,4177 W. Washington Blvd.,4177 W. Washington Blvd.,,Los Angeles,CA,90018-1055,US,06/22/2012 06:49:18 PM
Starbucks,76829,Target Compton T-2275,Licensed,18064,,Starbucks Card Mobile,,9999,Unknown,310-735-0096,1621 S Alameda St,1621 S Alameda St,,Compton,CA,90220-4973,US,06/22/2012 06:49:18 PM
Starbucks,9582,"Central & The 91 Fwy, Compton",Company Owned,8243,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,310-608-5364,"1929 W. Artesia Blvd., A",1929 W. Artesia Blvd.,A,Compton,CA,90220-5304,US,06/22/2012 06:49:18 PM
Starbucks,5911,"Wilshire & Serrano, Los Angeles",Company Owned,15618,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-383-5370,"3680 Wilshire Blvd., 102",3680 Wilshire Blvd.,102,Los Angeles,CA,90010-2707,US,06/22/2012 06:49:18 PM
Starbucks,9411,"Avalon & 91 Fwy, Carson",Company Owned,7115,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,310-516-6449,"335 East Albertoni Street, 100",335 East Albertoni Street,100,Carson,CA,90746-1425,US,06/22/2012 06:49:18 PM
Starbucks,5491,Ladera Center,Company Owned,13350,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,310-338-1297,5301 Centinella Ave,5301 Centinella Ave,,Los Angeles,CA,90045-2003,US,06/22/2012 06:49:18 PM
Starbucks,74543,Vons-Los Angeles #2261,Licensed,8885,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,,3461 W 3rd St,3461 W 3rd St,,Los Angeles,CA,90020-1604,US,06/22/2012 06:49:18 PM
Starbucks,5688,Hawthorne & El Segundo Blvd,Company Owned,15026,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,310-973-7334,12770 Hawthorne Blvd,12770 Hawthorne Blvd,,Hawthorne,CA,90250-3949,US,06/22/2012 06:49:18 PM
Starbucks,76505,Target Gardena T-290,Licensed,7258,,Starbucks Card Mobile,,9999,Unknown,310-327-0762,2169 W Redono Beach Blvd,2169 W Redono Beach Blvd,,Gardena,CA,90247-3625,US,06/22/2012 06:49:18 PM
Starbucks,8779,"Slauson & I-5, Commerce",Company Owned,15060,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,323-725-8774,7724 Telegraph Road,7724 Telegraph Road,,Los Angeles,CA,90040-3235,US,06/22/2012 06:49:18 PM
Starbucks,5756,Sunset & Mohawk (Lucy's),Company Owned,11156,Lunch,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,213-413-9612,2134 Sunset Blvd,2134 Sunset Blvd,,Los Angeles,CA,90026-1695,US,06/22/2012 06:49:18 PM
Starbucks,9506,Pico & San Vicente,Company Owned,17873,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-936-5032,4700 West Pico Blvd,4700 West Pico Blvd,,Los Angeles,CA,90019-4267,US,06/22/2012 06:49:18 PM
Starbucks,5348,Atlantic Square,Company Owned,12037,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-888-2382,2100 South Atlantic Blvd.,2100 South Atlantic Blvd.,,Monterey Park,CA,91754-6802,US,06/22/2012 06:49:18 PM
Starbucks,6672,"Lakewood & Stewart and Gray, Downey",Company Owned,8545,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,562-803-0950,12016 Lakewood Blvd.,12016 Lakewood Blvd.,,Downey,CA,90242-2661,US,06/22/2012 06:49:18 PM
Starbucks,5813,"Firestone & Lakewood, Downey",Company Owned,12429,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,562-861-6588,"9001 East Firestone Blvd., 101",9001 East Firestone Blvd.,101,Downey,CA,90241-5317,US,06/22/2012 06:49:18 PM
Starbucks,5698,LaBrea&SanVicente-LosAngeles,Company Owned,8970,Lunch,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-934-2408,1258 South La Brea Ave,1258 South La Brea Ave,,Los Angeles,CA,90019-1628,US,06/22/2012 06:49:18 PM
Starbucks,5645,"Artesia & Western, Gardena",Company Owned,16041,Lunch,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,310-771-0524,1759 W. Artesia Blvd.,1759 W. Artesia Blvd.,,Gardena,CA,90248-3220,US,06/22/2012 06:49:18 PM
Starbucks,5842,"Paramount & Jackson, Paramount",Company Owned,18483,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,562-272-8038,16280-C Paramount Blvd.,16280-C Paramount Blvd.,,Paramount,CA,90723-5466,US,06/22/2012 06:49:18 PM
Starbucks,14154,"Hawthorne Blvd & 149th St, Lawndale",Company Owned,11039,"Lunch, Oven-warmed Food",Starbucks Card Mobile,Drive-Through,9999,Unknown,310-973-4079,14828 Hawthorne Blvd,14828 Hawthorne Blvd,,Lawndale,CA,90260-1525,US,06/22/2012 06:49:18 PM
Starbucks,10659,"Lakewood & Telegraph, Downey",Company Owned,9874,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,562-862-6326,8801 Lakewood Blvd.,8801 Lakewood Blvd.,,Downey,CA,90240-2301,US,06/22/2012 06:49:18 PM
Starbucks,76949,Target Los Angeles T-1306,Licensed,7848,,Starbucks Card Mobile,,9999,Unknown,310-895-1131,3535 S La Cienega Blvd,3535 S La Cienega Blvd,,Los Angeles,CA,90016-4407,US,06/22/2012 06:49:18 PM
Starbucks,14412,"La Cienega & Jefferson, Los Angeles",Company Owned,18674,"Lunch, Oven-warmed Food",Starbucks Card Mobile,,9999,Unknown,323-938-0821,3344 S. La Cienega Blvd,3344 S. La Cienega Blvd,,Los Angeles,CA,90016-3115,US,06/22/2012 06:49:18 PM
Starbucks,75628,Marriott Los Angeles Int'l Airport,Licensed,12628,,Wireless Hotspot,,9999,Unknown,310-641-5700,5855 W. Century Blvd,5855 W. Century Blvd,,Los Angeles,CA,90045-5614,US,06/22/2012 06:49:18 PM
Starbucks,5488,Wilshire & Highland,Company Owned,8668,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-936-2989,5020 Wilshire Blvd.,5020 Wilshire Blvd.,,Los Angeles,CA,90036-4315,US,06/22/2012 06:49:18 PM
Starbucks,76983,Target Long Beach NW T-2424,Licensed,10678,,Starbucks Card Mobile,,9999,Unknown,562-295-2971,6750 Cherry Ave,6750 Cherry Ave,,Long Beach,CA,90805-1717,US,06/22/2012 06:49:18 PM
Starbucks,5785,Howard Hughes Ent. Center,Company Owned,11211,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,310-645-5012,"6081 Center Drive, 108",6081 Center Drive,108,Los Angeles,CA,90045-1576,US,06/22/2012 06:49:18 PM
Starbucks,507,Hancock Park,Company Owned,9035,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-469-1081,206 North Larchmont,206 North Larchmont,,Los Angeles,CA,90004-3707,US,06/22/2012 06:49:18 PM
Starbucks,9998,"Wilshire & Detroit, Los Angeles",Company Owned,7232,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,323-939-2071,5353 Wilshire Blvd.,5353 Wilshire Blvd.,,Los Angeles,CA,90036-4284,US,06/22/2012 06:49:18 PM
